pdf_path,paper_folder,note_slug,is_main_pdf,pdf_role,source_kind,parse_issue
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/amago_transformer_block_figure.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/amago_vs_ad_combined_ppt_pdf.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/case_studies_arxivV2_iclrV2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/case_studies_arxiv_v2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/combined_metaworld_throughput.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/crafter_condensed_results.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/crafter_env_figs.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/crafter_instruction_length_figure-2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/crafter_instruction_rates_v2.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/crafter_learning_curves.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/curriculum_ppt.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/delivery_results_amago_v3.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/example_attn_heads.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/exploration_fig_figma.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/fig1_iclr_e_notation.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/goal_imortance_sampling_figure.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/goal_is_hide_plan_run.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents/figs/iclr_mazerunner_v1.pdf,AMAGO Scalable In-Context Reinforcement Learning for Adaptive Agents,amago-scalable-in-context-reinforcement-learning-for-adaptive-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
